"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.641957711,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.13273242,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.45897235,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.044750089,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.525884387,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-19.428322456,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",17.595765822,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.482439501,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.171912613,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",5.555746599,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.937339938,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.275237583,
"EST","QGDP","TOT","PC_CHGPP","Q","2016-Q3",1.114914788,
"EST","QGDP","TOT","PC_CHGPP","Q","2016-Q4",1.198228482,
"EST","QGDP","TOT","PC_CHGPP","Q","2017-Q1",1.972456126,
"EST","QGDP","TOT","PC_CHGPP","Q","2017-Q2",1.898643348,
"EST","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.358932893,
"EST","QGDP","TOT","PC_CHGPP","Q","2017-Q4",1.445377341,
"EST","QGDP","TOT","PC_CHGPP","Q","2018-Q1",1.061718949,
"EST","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.775125024,
"EST","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.684922879,
"EST","QGDP","TOT","PC_CHGPP","Q","2018-Q4",1.376514424,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.637376482,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.426116907,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.696689921,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.365134952,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.207322332,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-5.811153699,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q3",3.619102709,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q4",2.196789738,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q1",3.330827646,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.419040632,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.025203826,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.766512983,
"DNK","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.848381829,
"DNK","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.720496974,
"DNK","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.654390627,
"DNK","QGDP","TOT","PC_CHGPP","Q","2017-Q2",1.117777678,
"DNK","QGDP","TOT","PC_CHGPP","Q","2017-Q3",-0.366774101,
"DNK","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.75496245,
"DNK","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.512055136,
"DNK","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.502598831,
"DNK","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.602133078,
"DNK","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.499343436,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.622473237,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.796147943,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.389960487,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.46067218,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.521373485,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-5.992876481,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q3",6.126802553,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.084548227,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.065582661,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.310805805,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.443430919,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q4",2.98575435,
"ESP","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.88706963,
"ESP","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.464567325,
"ESP","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.793789658,
"ESP","QGDP","TOT","PC_CHGPP","Q","2017-Q2",1.073786986,
"ESP","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.577280996,
"ESP","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.62554452,
"ESP","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.377842041,
"ESP","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.586193572,
"ESP","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.51760509,
"ESP","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.674983961,
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.601311089,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.365570965,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.37901041,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.376576034,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.391222646,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-17.652092761,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q3",16.798457005,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.222620107,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.502705329,"P"
