"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","SHPRICE","TOT","IDX2015","Q","2018-Q2",110.6687,
"CAN","SHPRICE","TOT","IDX2015","Q","2018-Q3",113.6619,
"CAN","SHPRICE","TOT","IDX2015","Q","2018-Q4",104.7972,
"CAN","SHPRICE","TOT","IDX2015","Q","2019-Q1",109.1031,
"CAN","SHPRICE","TOT","IDX2015","Q","2019-Q2",114.1865,
"CAN","SHPRICE","TOT","IDX2015","Q","2019-Q3",114.8966,
"CAN","SHPRICE","TOT","IDX2015","Q","2019-Q4",117.0793,
"CAN","SHPRICE","TOT","IDX2015","Q","2020-Q1",113.1711,
"CAN","SHPRICE","TOT","IDX2015","Q","2020-Q2",103.3257,
"CAN","SHPRICE","TOT","IDX2015","Q","2020-Q3",113.2623,
"CAN","SHPRICE","TOT","IDX2015","Q","2020-Q4",117.4307,
"CAN","SHPRICE","TOT","IDX2015","Q","2021-Q1",127.229,
"CAN","SHPRICE","TOT","IDX2015","Q","2021-Q2",136.4981,
"CAN","SHPRICE","TOT","IDX2015","Q","2021-Q3",142.1406,
"CAN","SHPRICE","TOT","IDX2015","Q","2021-Q4",146.7877,
"CAN","SHPRICE","TOT","IDX2015","Q","2022-Q1",148.521,
"CZE","SHPRICE","TOT","IDX2015","Q","2016-Q4",90.49661,
"CZE","SHPRICE","TOT","IDX2015","Q","2017-Q1",95.88869,
"CZE","SHPRICE","TOT","IDX2015","Q","2017-Q2",99.933,
"CZE","SHPRICE","TOT","IDX2015","Q","2017-Q3",102.5333,
"CZE","SHPRICE","TOT","IDX2015","Q","2017-Q4",106.2875,
"CZE","SHPRICE","TOT","IDX2015","Q","2018-Q1",111.8099,
"CZE","SHPRICE","TOT","IDX2015","Q","2018-Q2",110.1534,
"CZE","SHPRICE","TOT","IDX2015","Q","2018-Q3",108.6318,
"CZE","SHPRICE","TOT","IDX2015","Q","2018-Q4",105.9239,
"CZE","SHPRICE","TOT","IDX2015","Q","2019-Q1",105.1406,
"CZE","SHPRICE","TOT","IDX2015","Q","2019-Q2",106.6962,
"CZE","SHPRICE","TOT","IDX2015","Q","2019-Q3",104.7105,
"CZE","SHPRICE","TOT","IDX2015","Q","2019-Q4",107.2904,
"CZE","SHPRICE","TOT","IDX2015","Q","2020-Q1",101.6474,
"CZE","SHPRICE","TOT","IDX2015","Q","2020-Q2",88.41531,
"CZE","SHPRICE","TOT","IDX2015","Q","2020-Q3",91.03031,
"CZE","SHPRICE","TOT","IDX2015","Q","2020-Q4",92.80048,
"CZE","SHPRICE","TOT","IDX2015","Q","2021-Q1",106.5622,
"CZE","SHPRICE","TOT","IDX2015","Q","2021-Q2",113.5534,
"CZE","SHPRICE","TOT","IDX2015","Q","2021-Q3",124.9695,
"CZE","SHPRICE","TOT","IDX2015","Q","2021-Q4",137.6772,
"CZE","SHPRICE","TOT","IDX2015","Q","2022-Q1",139.6733,
"DNK","SHPRICE","TOT","IDX2015","Q","2016-Q4",94.87959,
"DNK","SHPRICE","TOT","IDX2015","Q","2017-Q1",100.7628,
"DNK","SHPRICE","TOT","IDX2015","Q","2017-Q2",108.4803,
"DNK","SHPRICE","TOT","IDX2015","Q","2017-Q3",112.3392,
"DNK","SHPRICE","TOT","IDX2015","Q","2017-Q4",113.5623,
"DNK","SHPRICE","TOT","IDX2015","Q","2018-Q1",112.1789,
"DNK","SHPRICE","TOT","IDX2015","Q","2018-Q2",112.2371,
